Token ID,Name,Gender,Color,Eyewear,base URL,Token URL,Image,Author,Season,Collection,Description
1,Algorithmic Eyewear #1,Female,Blue,Geodesic,https://algorithmiceyewear.com/,https://algorithmiceyewear.com/nft/1,https://algorithmiceyewear.com/images/1.png,Mirror Vision,Spring 2023,Algorithmic Eyewear,Algorithmic Eyewear is a collection of 100 AI generated images inspired by Mirror Visionwear.
2,Algorithmic Eyewear #2,Female,Rainbow,Geometric,https://algorithmiceyewear.com/,https://algorithmiceyewear.com/nft/2,https://algorithmiceyewear.com/images/2.png,Mirror Vision,Spring 2023,Algorithmic Eyewear,Algorithmic Eyewear is a collection of 100 AI generated images inspired by Mirror Visionwear.
3,Algorithmic Eyewear #3,Female,Blue,Glasses,https://algorithmiceyewear.com/,https://algorithmiceyewear.com/nft/3,https://algorithmiceyewear.com/images/3.png,Mirror Vision,Spring 2023,Algorithmic Eyewear,Algorithmic Eyewear is a collection of 100 AI generated images inspired by Mirror Visionwear.
4,Algorithmic Eyewear #4,Female,Blue,Visor,https://algorithmiceyewear.com/,https://algorithmiceyewear.com/nft/4,https://algorithmiceyewear.com/images/4.png,Mirror Vision,Spring 2023,Algorithmic Eyewear,Algorithmic Eyewear is a collection of 100 AI generated images inspired by Mirror Visionwear.
5,Algorithmic Eyewear #5,Female,Silver,Geodesic,https://algorithmiceyewear.com/,https://algorithmiceyewear.com/nft/5,https://algorithmiceyewear.com/images/5.png,Mirror Vision,Spring 2023,Algorithmic Eyewear,Algorithmic Eyewear is a collection of 100 AI generated images inspired by Mirror Visionwear.
6,Algorithmic Eyewear #6,Female,Rainbow,Geometric,https://algorithmiceyewear.com/,https://algorithmiceyewear.com/nft/6,https://algorithmiceyewear.com/images/6.png,Mirror Vision,Spring 2023,Algorithmic Eyewear,Algorithmic Eyewear is a collection of 100 AI generated images inspired by Mirror Visionwear.
7,Algorithmic Eyewear #7,Female,Black,Glasses,https://algorithmiceyewear.com/,https://algorithmiceyewear.com/nft/7,https://algorithmiceyewear.com/images/7.png,Mirror Vision,Spring 2023,Algorithmic Eyewear,Algorithmic Eyewear is a collection of 100 AI generated images inspired by Mirror Visionwear.
8,Algorithmic Eyewear #8,Female,Green,Visor,https://algorithmiceyewear.com/,https://algorithmiceyewear.com/nft/8,https://algorithmiceyewear.com/images/8.png,Mirror Vision,Spring 2023,Algorithmic Eyewear,Algorithmic Eyewear is a collection of 100 AI generated images inspired by Mirror Visionwear.
9,Algorithmic Eyewear #9,Male,Silver,Geodesic,https://algorithmiceyewear.com/,https://algorithmiceyewear.com/nft/9,https://algorithmiceyewear.com/images/9.png,Mirror Vision,Spring 2023,Algorithmic Eyewear,Algorithmic Eyewear is a collection of 100 AI generated images inspired by Mirror Visionwear.
10,Algorithmic Eyewear #10,Female,Red,Geometric,https://algorithmiceyewear.com/,https://algorithmiceyewear.com/nft/10,https://algorithmiceyewear.com/images/10.png,Mirror Vision,Spring 2023,Algorithmic Eyewear,Algorithmic Eyewear is a collection of 100 AI generated images inspired by Mirror Visionwear.
